N,90%,95%,97.5%,99%
5,23.1,37.4,56.7,91
6,12,18.5,27.5,45
7,8.9,12.5,18.5,27.5
8,7.1,9.7,13.5,19
9,6.1,8,10.4,14.2
10,5.3,6.83,8.8,11.3
12,4.5,5.71,6.6,8.2
14,3.95,5.55,5.5,6.5
16,3.56,4.17,4.75,5.55
18,3.27,3.8,4.25,4.89
20,3.037,3.47,3.89,4.39
25,2.66,2.97,3.26,3.62
30,2.4,2.65,2.87,3.15
40,2.09,2.28,2.44,2.61
50,1.923,2.073,2.21,2.35
60,1.82,1.94,2.04,2.18
70,1.73,1.83,1.93,2.05
80,1.67,1.76,1.85,1.96
90,1.62,1.7,1.78,1.88
100,1.597,1.667,1.736,1.82
120,1.52,1.58,1.64,1.73
140,1.47,1.55,1.59,1.67
160,1.43,1.5,1.55,1.62
180,1.4,1.47,1.52,1.58
200,1.38,1.433,1.47,1.536
250,1.33,1.38,1.42,1.48
300,1.3,1.34,1.38,1.44
400,1.25,1.29,1.33,1.37
500,1.228,1.251,1.278,1.315
600,1.2,1.23,1.26,1.29
700,1.18,1.21,1.25,1.27
800,1.17,1.19,1.23,1.25
900,1.16,1.18,1.21,1.23
1000,1.161,1.177,1.192,1.207
